Time,Lapse7_daily_mean_RH
2016-07-08,112.857875
2016-07-09,114.8525
2016-07-10,106.266375
2016-07-11,111.054625
2016-07-12,107.6345
2016-07-13,105.619625
2016-07-14,101.2215
2016-07-15,105.17875
2016-07-16,112.795875
2016-07-17,98.17325
2016-07-18,90.66
2016-07-19,112.0035
2016-07-20,101.792375
2016-07-21,70.208625
2016-07-22,100.73975
2016-07-23,109.363375
2016-07-24,80.264375
2016-07-25,76.565375
2016-07-26,83.534875
2016-07-27,78.4165
2016-07-28,65.195125
2016-07-29,64.9995
2016-07-30,72.71075
2016-07-31,92.403
2016-08-01,81.968625
2016-08-02,105.83725
2016-08-03,111.476
2016-08-04,74.05475
2016-08-05,76.690375
2016-08-06,87.701875
2016-08-07,106.075375
2016-08-08,112.011375
2016-08-09,112.86225
2016-08-10,112.861875
2016-08-11,77.1565
2016-08-12,58.760375
2016-08-13,59.900625
2016-08-14,73.16575
2016-08-15,72.047375
2016-08-16,72.0148333333
