Time,AirT_Lapse1_daily_mean
2017-05-06,5.515125
2017-05-07,6.831125
2017-05-08,7.772125
2017-05-09,9.90275
2017-05-10,12.159125
2017-05-11,9.527875
2017-05-12,5.38975
2017-05-13,4.887875
2017-05-14,5.954
2017-05-15,5.76625
2017-05-16,4.448875
2017-05-17,7.458625
2017-05-18,10.780625
2017-05-19,10.8435
2017-05-20,13.72425
2017-05-21,15.28875
2017-05-22,16.79075
2017-05-23,16.10325
2017-05-24,8.148875
2017-05-25,11.092375
2017-05-26,14.91275
2017-05-27,16.790375
2017-05-28,18.668125
2017-05-29,18.668125
2017-05-30,12.598375
2017-05-31,11.78375
2017-06-01,11.909375
2017-06-02,11.094875
2017-06-03,10.718625
2017-06-04,11.407875
2017-06-05,12.345
2017-06-06,16.97875
2017-06-07,18.73175
2017-06-08,12.222375
2017-06-09,8.901125
2017-06-10,8.964
2017-06-11,11.595875
2017-06-12,11.408
2017-06-13,10.02975
2017-06-14,9.4025
2017-06-15,10.15475
2017-06-16,10.46825
2017-06-17,10.217
2017-06-18,10.593625
2017-06-19,13.600125
2017-06-20,13.538125
2017-06-21,12.5355
2017-06-22,13.15975
2017-06-23,16.29025
2017-06-24,19.668625
2017-06-25,22.171
2017-06-26,20.172375
2017-06-27,15.1655
2017-06-28,14.977625
2017-06-29,16.47925
2017-06-30,19.045
2017-07-01,17.732125
2017-07-02,17.356
2017-07-03,15.66675
2017-07-04,15.72775
2017-07-05,18.731375
2017-07-06,20.1085
2017-07-07,17.98275
2017-07-08,17.543375
2017-07-09,17.732375
2017-07-10,16.418125
2017-07-11,14.976875
2017-07-12,16.480125
2017-07-13,15.604625
2017-07-14,16.666875
2017-07-15,16.48025
2017-07-16,14.790625
2017-07-17,15.1015
2017-07-18,17.41825
2017-07-19,16.917875
2017-07-20,13.663625
2017-07-21,14.1015
2017-07-22,15.917375
2017-07-23,17.4825
2017-07-24,17.2305
2017-07-25,19.232625
2017-07-26,19.295875
2017-07-27,17.357
2017-07-28,16.98025
2017-07-29,17.981375
2017-07-30,18.4825
2017-07-31,18.857
2017-08-01,20.421625
2017-08-02,22.234375
2017-08-03,22.985125
2017-08-04,19.484625
2017-08-05,19.108375
2017-08-06,19.420625
2017-08-07,20.859375
2017-08-08,20.984375
2017-08-09,22.0475
2017-08-10,22.797625
2017-08-11,22.423125
2017-08-12,18.984125
2017-08-13,15.6045
2017-08-14,14.602
2017-08-15,15.164625
2017-08-16,16.104375
2017-08-17,17.544375
2017-08-18,15.79225
2017-08-19,16.3555
2017-08-20,16.16675
2017-08-21,17.85625
2017-08-22,20.48375
2017-08-23,18.42075
2017-08-24,15.228625
2017-08-25,14.28825
2017-08-26,17.041625
2017-08-27,20.045
