datetime,Tgrounddaily_Lapse4,Tgrounddaily_Lapse6,Tgrounddaily_Lapse7
2016-03-29,0.5625,0.0,0.5
2016-03-30,0.5,0.0,0.5
2016-03-31,0.5,0.0,0.5
2016-04-01,0.5,0.0,0.5
2016-04-02,0.5,0.0,0.5
2016-04-03,0.5,0.0,0.5
2016-04-04,0.5,0.0,0.5
2016-04-05,0.9375,0.0,0.5
2016-04-06,0.5,0.0,0.5
2016-04-07,0.5625,0.0,0.5
2016-04-08,1.375,0.0,0.5
2016-04-09,3.25,0.0,0.5
2016-04-10,3.9375,0.0,0.5
2016-04-11,3.875,0.0,0.5
2016-04-12,3.4375,0.0,0.5
2016-04-13,2.4375,0.0,0.5
2016-04-14,2.5,0.0,0.5
2016-04-15,2.875,0.0,0.5
2016-04-16,3.1875,0.0,0.5
2016-04-17,4.6875,0.0,0.5
2016-04-18,6.5,0.0,0.5
2016-04-19,7.25,0.0,0.5
2016-04-20,7.9375,0.0,0.5
2016-04-21,8.25,0.0,0.5
2016-04-22,7.4375,0.0,0.5
2016-04-23,6.375,0.0,0.5
2016-04-24,4.875,0.0,0.5
2016-04-25,3.8125,0.0,0.5
2016-04-26,3.875,0.0,0.5
2016-04-27,4.6875,0.0,0.5
2016-04-28,5.125,0.0,0.5
2016-04-29,5.0,0.0,0.5
2016-04-30,4.8125,0.0,0.5
2016-05-01,5.8125,0.0,0.5
2016-05-02,7.3125,0.0,0.5
2016-05-03,7.9375,0.0,0.5
2016-05-04,7.25,0.0,0.5
2016-05-05,6.875,0.0,0.5
2016-05-06,7.25,0.0,0.5
2016-05-07,8.5625,0.0,0.5
2016-05-08,7.8125,0.0,0.5
2016-05-09,6.0,0.0,0.5
2016-05-10,6.375,0.0,0.5
2016-05-11,7.1875,0.0,0.5
2016-05-12,7.625,0.0,0.5
2016-05-13,8.1875,0.0,0.5
2016-05-14,9.0625,0.0,0.5
2016-05-15,8.375,0.0,0.5
2016-05-16,7.75,0.0,0.5
2016-05-17,7.625,0.0,0.5
2016-05-18,7.875,0.0,0.5
2016-05-19,5.9375,0.0,0.5
2016-05-20,5.875,0.0,0.5
2016-05-21,6.625,0.0,0.5
2016-05-22,6.375,0.0,0.5
2016-05-23,6.1875,0.0,0.5
2016-05-24,6.625,0.0,0.5
2016-05-25,7.125,0.0,0.5
2016-05-26,7.0,0.0,0.5
2016-05-27,5.6875,0.0,0.5
2016-05-28,5.3125,0.0,0.5
2016-05-29,5.875,0.0,0.5
2016-05-30,6.0,0.0,0.5
2016-05-31,7.375,0.0,0.5
2016-06-01,8.5,0.0,1.5625
2016-06-02,8.9375,0.75,4.9375
2016-06-03,8.5,1.75,6.0
2016-06-04,10.0625,5.5625,9.5
2016-06-05,11.6875,8.4375,12.25
2016-06-06,12.0625,9.6875,12.625
2016-06-07,11.4375,8.6875,11.1875
2016-06-08,11.0,7.6875,9.5
2016-06-09,8.875,3.9375,4.25
2016-06-10,7.4375,2.8125,2.375
2016-06-11,6.6875,1.25,1.5
2016-06-12,6.75,2.25,1.0
2016-06-13,7.1875,2.9375,1.75
2016-06-14,4.75,1.0,1.125
2016-06-15,5.4375,0.5,0.9375
2016-06-16,5.8125,0.5,0.5
2016-06-17,6.25,0.5,0.5
2016-06-18,7.0,0.375,0.6875
2016-06-19,6.6875,1.375,1.4375
2016-06-20,7.9375,4.1875,4.375
2016-06-21,8.25,4.75,4.875
2016-06-22,8.4375,5.75,5.75
2016-06-23,8.6875,5.25,5.1875
2016-06-24,7.75,3.6875,3.875
2016-06-25,7.875,4.8125,5.0
2016-06-26,8.75,6.6875,6.875
2016-06-27,10.5,9.3125,9.8125
2016-06-28,11.0625,10.1875,11.0
2016-06-29,11.125,10.125,11.125
2016-06-30,10.8125,9.5,10.0
2016-07-01,10.375,8.1875,8.6875
2016-07-02,10.4375,8.8125,8.6875
2016-07-03,10.1875,7.25,7.625
2016-07-04,8.6875,4.8125,5.3125
2016-07-05,8.1875,4.1875,3.8125
2016-07-06,8.375,5.375,5.0625
2016-07-07,9.125,6.25,6.1875
2016-07-08,9.8125,6.75,6.6875
2016-07-09,9.375,5.8125,5.625
2016-07-10,8.9375,5.5625,5.5
2016-07-11,8.9375,6.0,5.875
2016-07-12,9.1875,6.5625,6.5625
2016-07-13,9.3125,7.5,6.9375
2016-07-14,9.625,7.9375,7.5
2016-07-15,9.0,6.1875,6.375
2016-07-16,9.4375,7.25,7.25
2016-07-17,10.0,8.25,8.5
2016-07-18,10.3125,8.5625,8.6875
2016-07-19,10.3125,8.375,8.0
2016-07-20,10.1875,8.4375,8.1875
2016-07-21,10.5625,9.3125,9.1875
2016-07-22,10.75,8.6875,9.0625
2016-07-23,10.0,7.5625,7.625
2016-07-24,10.1875,8.8125,8.9375
2016-07-25,11.6875,11.25,11.6875
2016-07-26,12.0625,11.6875,12.375
