Time,AirT_Lapse7_daily_mean
2015-10-14,21.1035
2015-10-15,17.973625
2015-10-16,16.221125
2015-10-17,11.9595
2015-10-18,5.75025
2015-10-19,4.6205
2015-10-20,3.804
2015-10-21,4.93375
2015-10-22,1.22825
2015-10-23,3.614875
2015-10-24,6.1895
2015-10-25,5.875375
2015-10-26,2.171
2015-10-27,3.23875
2015-10-28,3.238375
2015-10-29,1.228375
2015-10-30,2.6105
2015-10-31,1.79375
2015-11-01,-1.47411111111
2015-11-02,-2.102875
2015-11-03,-3.73825
2015-11-04,-3.109125
2015-11-05,-2.543
2015-11-06,-0.90875
2015-11-07,0.097125
2015-11-08,-2.417125
2015-11-09,-3.61225
2015-11-10,-4.05275
2015-11-11,-4.996375
2015-11-12,-3.73825
2015-11-13,0.28575
2015-11-14,-1.662625
2015-11-15,-5.625875
2015-11-16,-6.003625
2015-11-17,-1.34925
2015-11-18,-6.506625
2015-11-19,-5.688625
2015-11-20,-3.801375
2015-11-21,2.10775
2015-11-22,4.36925
2015-11-23,-2.6695
2015-11-24,-7.76625
2015-11-25,-4.179
2015-11-26,-0.4685
2015-11-27,3.80375
2015-11-28,5.938375
2015-11-29,5.750125
2015-11-30,-0.217125
2015-12-01,-1.7255
2015-12-02,-0.342875
2015-12-03,-0.405625
2015-12-04,-3.046
2015-12-05,-2.79475
2015-12-06,-1.914125
2015-12-07,-0.8455
2015-12-08,0.03425
2015-12-09,-2.732125
2015-12-10,-3.423875
2015-12-11,-4.178625
2015-12-12,-4.178625
2015-12-13,-4.493125
2015-12-14,-6.066
2015-12-15,-6.19225
2015-12-16,-8.647375
2015-12-17,-4.99675
2015-12-18,-4.367375
2015-12-19,-5.8145
2015-12-20,-5.562625
2015-12-21,-6.317875
2015-12-22,-7.262125
2015-12-23,-7.01025
2015-12-24,-7.07325
2015-12-25,-9.21425
2015-12-26,-9.088125
2015-12-27,-5.814625
2015-12-28,-6.569875
2015-12-29,-9.340125
2015-12-30,-9.025375
2015-12-31,-4.115875
2016-01-01,-0.531625
2016-01-02,-1.851875
2016-01-03,-6.50675
2016-01-04,-4.178625
2016-01-05,-2.10275
2016-01-06,-1.59975
2016-01-07,-2.35425
2016-01-08,-3.235125
2016-01-09,-3.298
2016-01-10,-3.10925
2016-01-11,-2.480125
2016-01-12,-1.536875
2016-01-13,-3.046375
2016-01-14,-5.059375
2016-01-15,-4.61925
2016-01-16,-1.914125
2016-01-17,-2.66875
2016-01-18,-3.046125
2016-01-19,-3.7385
2016-01-20,-3.801125
2016-01-21,0.28575
2016-01-22,-0.97125
2016-01-23,-3.109
2016-01-24,-5.059125
2016-01-25,-3.612375
2016-01-26,1.1655
2016-01-27,2.54775
2016-01-28,-1.223625
2016-01-29,-5.059375
2016-01-30,-6.56975
2016-01-31,-6.50675
2016-02-01,-6.947375
2016-02-02,-7.451125
2016-02-03,-4.74475
2016-02-04,-3.6125
2016-02-05,-2.354375
2016-02-06,-5.12225
2016-02-07,-0.973375
2016-02-08,8.95
2016-02-09,10.83125
2016-02-10,2.609875
2016-02-11,1.91925
2016-02-12,0.34825
2016-02-13,-3.801125
2016-02-14,-0.908375
2016-02-15,-1.2225
2016-02-16,-1.7255
2016-02-17,0.03425
2016-02-18,-3.298125
2016-02-19,-3.6755
2016-02-20,-5.562625
2016-02-21,-5.185125
2016-02-22,-4.87075
2016-02-23,-4.115625
2016-02-24,0.09725
2016-02-25,2.610375
2016-02-26,2.9245
2016-02-27,-0.782625
2016-02-28,-3.172
2016-02-29,-4.681875
2016-03-01,-2.857625
2016-03-02,-2.354375
2016-03-03,-1.474125
2016-03-04,-1.59975
2016-03-05,-0.656875
2016-03-06,-2.669125
2016-03-07,-4.178625
2016-03-08,-5.185125
2016-03-09,-3.486625
2016-03-10,-2.668875
2016-03-11,-3.172375
2016-03-12,-3.6125
2016-03-13,-5.14042857143
2016-03-14,-5.311
2016-03-15,-5.18525
2016-03-16,-5.24825
2016-03-17,-6.506875
2016-03-18,-4.745
2016-03-19,-1.16025
2016-03-20,1.165375
2016-03-21,-1.34825
2016-03-22,-2.165625
2016-03-23,-2.7315
2016-03-24,-4.1785
2016-03-25,-3.486625
2016-03-26,-3.10925
2016-03-27,-3.48675
2016-03-28,-3.1095
2016-03-29,-0.594875
2016-03-30,4.808125
2016-03-31,7.883375
2016-04-01,7.38175
2016-04-02,3.3015
2016-04-03,4.80825
2016-04-04,-1.788875
2016-04-05,-2.920625
2016-04-06,0.9765
2016-04-07,11.896875
2016-04-08,11.96
2016-04-09,6.126625
2016-04-10,4.055
2016-04-11,-0.34275
2016-04-12,-1.914125
2016-04-13,-2.983375
2016-04-14,-2.10275
2016-04-15,-1.2855
2016-04-16,-0.029
2016-04-17,8.761375
2016-04-18,13.52725
2016-04-19,14.279
2016-04-20,14.7175
2016-04-21,9.012875
2016-04-22,5.436
2016-04-23,1.354
2016-04-24,-1.41125
2016-04-25,-2.417375
2016-04-26,-1.097375
2016-04-27,0.85125
2016-04-28,1.54275
2016-04-29,0.22275
2016-04-30,3.8655
2016-05-01,8.94975
2016-05-02,11.52125
2016-05-03,10.2045
2016-05-04,4.746125
2016-05-05,5.059125
2016-05-06,9.7015
2016-05-07,13.088375
2016-05-08,2.610375
2016-05-09,2.295625
2016-05-10,5.56125
2016-05-11,6.87975
2016-05-12,8.009125
2016-05-13,9.702375
2016-05-14,10.016125
2016-05-15,5.24775
2016-05-16,4.494625
2016-05-17,5.62375
2016-05-18,4.8085
2016-05-19,-1.034
2016-05-20,1.228
2016-05-21,2.484875
2016-05-22,1.47975
2016-05-23,1.605375
2016-05-24,3.427125
2016-05-25,4.368875
2016-05-26,1.982375
2016-05-27,-0.97125
2016-05-28,-0.531375
2016-05-29,1.416875
2016-05-30,4.556
2016-05-31,9.7025
2016-06-01,7.57
2016-06-02,4.557625
2016-06-03,7.192375
2016-06-04,16.22025
2016-06-05,20.0395
2016-06-06,16.283875
2016-06-07,14.09125
2016-06-08,8.7615
2016-06-09,1.79375
2016-06-10,0.788375
2016-06-11,0.2855
2016-06-12,2.170625
2016-06-13,1.794
2016-06-14,-2.291375
2016-06-15,-0.9085
2016-06-16,0.6
2016-06-17,4.367625
2016-06-18,2.736
2016-06-19,3.30025
2016-06-20,8.824625
2016-06-21,4.62025
2016-06-22,6.8795
2016-06-23,3.86675
2016-06-24,2.2965
2016-06-25,5.436
2016-06-26,10.642125
2016-06-27,15.6575
2016-06-28,14.153625
2016-06-29,13.339
2016-06-30,8.950125
2016-07-01,8.071875
2016-07-02,8.6365
2016-07-03,5.436375
2016-07-04,3.364375
2016-07-05,2.799125
2016-07-06,5.43575
2016-07-07,6.12675
2016-07-08,6.37775
2016-07-09,4.2435
2016-07-10,4.996875
2016-07-11,4.997
2016-07-12,5.875625
2016-07-13,6.817
2016-07-14,7.13075
2016-07-15,5.247875
2016-07-16,7.38175
2016-07-17,9.326375
2016-07-18,9.8285
2016-07-19,7.1935
2016-07-20,7.88375
2016-07-21,12.9
2016-07-22,7.632625
2016-07-23,6.315
2016-07-24,12.084125
2016-07-25,15.344125
2016-07-26,14.404125
2016-07-27,15.53125
2016-07-28,16.7215
2016-07-29,17.2225
2016-07-30,11.396125
2016-07-31,8.134375
2016-08-01,10.9565
2016-08-02,5.9385
2016-08-03,7.00525
2016-08-04,10.893625
2016-08-05,11.145125
2016-08-06,8.510875
2016-08-07,6.00125
2016-08-08,5.87575
2016-08-09,6.75425
2016-08-10,8.82475
2016-08-11,13.7765
2016-08-12,16.784125
2016-08-13,16.847
2016-08-14,14.96825
2016-08-15,14.654375
2016-08-16,14.9258333333
